country_iso2_a,country_iso2_b,reason,source,note
AL,IT,named_pipeline_border_point_no_shared_land_border,iea_gtf,"GTF border point 'Melendugno (TAP)': Exit/Entry countries resolve to AL/IT, which do not share a geometric land border at 1:50m resolution"
BE,GB,named_pipeline_border_point_no_shared_land_border,iea_gtf,"GTF border point 'Interconnector': Exit/Entry countries resolve to BE/GB, which do not share a geometric land border at 1:50m resolution"
BE,NO,named_pipeline_border_point_no_shared_land_border,iea_gtf,"GTF border point 'Zeebrugge (ZPT)': Exit/Entry countries resolve to BE/NO, which do not share a geometric land border at 1:50m resolution"
DE,NO,named_pipeline_border_point_no_shared_land_border,iea_gtf,"GTF border point 'Dornum': Exit/Entry countries resolve to DE/NO, which do not share a geometric land border at 1:50m resolution"
DE,RU,named_pipeline_border_point_no_shared_land_border,iea_gtf,"GTF border point 'Nord Stream': Exit/Entry countries resolve to DE/RU, which do not share a geometric land border at 1:50m resolution"
DK,NL,named_pipeline_border_point_no_shared_land_border,iea_gtf,"GTF border point 'Northern Offshore Gas Transport (NOGAT)': Exit/Entry countries resolve to DK/NL, which do not share a geometric land border at 1:50m resolution"
DK,NO,named_pipeline_border_point_no_shared_land_border,iea_gtf,"GTF border point 'Nybro': Exit/Entry countries resolve to DK/NO, which do not share a geometric land border at 1:50m resolution"
DK,PL,named_pipeline_border_point_no_shared_land_border,iea_gtf,"GTF border point 'Faxe': Exit/Entry countries resolve to DK/PL, which do not share a geometric land border at 1:50m resolution"
DK,SE,named_pipeline_border_point_no_shared_land_border,iea_gtf,"GTF border point 'Dragor': Exit/Entry countries resolve to DK/SE, which do not share a geometric land border at 1:50m resolution"
DZ,ES,named_pipeline_border_point_no_shared_land_border,iea_gtf,"GTF border point 'Almeria': Exit/Entry countries resolve to DZ/ES, which do not share a geometric land border at 1:50m resolution"
EE,FI,named_pipeline_border_point_no_shared_land_border,iea_gtf,"GTF border point 'Baltic Connector Inkoo/Paldiski': Exit/Entry countries resolve to EE/FI, which do not share a geometric land border at 1:50m resolution"
ES,MA,named_pipeline_border_point_no_shared_land_border,iea_gtf,"GTF border point 'Tarifa': Exit/Entry countries resolve to ES/MA, which do not share a geometric land border at 1:50m resolution"
FR,NO,named_pipeline_border_point_no_shared_land_border,iea_gtf,"GTF border point 'Dunkerque': Exit/Entry countries resolve to FR/NO, which do not share a geometric land border at 1:50m resolution"
GB,IM,named_pipeline_border_point_no_shared_land_border,iea_gtf,"GTF border point 'Isle of Man': Exit/Entry countries resolve to GB/IM, which do not share a geometric land border at 1:50m resolution"
GB,NL,named_pipeline_border_point_no_shared_land_border,iea_gtf,"GTF border point 'BBL': Exit/Entry countries resolve to GB/NL, which do not share a geometric land border at 1:50m resolution"
GB,NO,named_pipeline_border_point_no_shared_land_border,iea_gtf,"GTF border point 'Easington': Exit/Entry countries resolve to GB/NO, which do not share a geometric land border at 1:50m resolution"
HR,IT,named_pipeline_border_point_no_shared_land_border,iea_gtf,"GTF border point 'Exploitation Field Ivana A': Exit/Entry countries resolve to HR/IT, which do not share a geometric land border at 1:50m resolution"
IT,LY,named_pipeline_border_point_no_shared_land_border,iea_gtf,"GTF border point 'Gela': Exit/Entry countries resolve to IT/LY, which do not share a geometric land border at 1:50m resolution"
IT,TN,named_pipeline_border_point_no_shared_land_border,iea_gtf,"GTF border point 'Mazara del Vallo': Exit/Entry countries resolve to IT/TN, which do not share a geometric land border at 1:50m resolution"
NL,NO,named_pipeline_border_point_no_shared_land_border,iea_gtf,"GTF border point 'Emden (EPT1)': Exit/Entry countries resolve to NL/NO, which do not share a geometric land border at 1:50m resolution"
RU,TR,named_pipeline_border_point_no_shared_land_border,iea_gtf,"GTF border point 'Kiyikoy': Exit/Entry countries resolve to RU/TR, which do not share a geometric land border at 1:50m resolution"
