node_id,country_iso2,ea_project_name,port_role,gazetteer_port_name,gazetteer_id,latitude,longitude,method,confidence,source,note
angola,AO,Soyo LNG,load,,,,,unresolved,none,natural_earth_10m_ports,no exact case-insensitive name match within country
angola,AO,Angola LNG,load,,,,,unresolved,none,natural_earth_10m_ports,no exact case-insensitive name match within country
cameroon,CM,Hilli Episeyo FLNG,load,,,,,unresolved,none,natural_earth_10m_ports,no exact case-insensitive name match within country
cameroon,CM,Cameroon LNG,load,,,,,unresolved,none,natural_earth_10m_ports,no exact case-insensitive name match within country
cameroon,CM,Hilli Episeyo FLNG,load,,,,,unresolved,none,natural_earth_10m_ports,no exact case-insensitive name match within country
cameroon,CM,Hilli Episeyo FLNG,load,,,,,unresolved,none,natural_earth_10m_ports,no exact case-insensitive name match within country
cameroon,CM,Etinde FLNG,load,,,,,unresolved,none,natural_earth_10m_ports,no exact case-insensitive name match within country
cameroon,CM,Hilli Episeyo FLNG,load,,,,,unresolved,none,natural_earth_10m_ports,no exact case-insensitive name match within country
congo,CG,Congo-Brazzaville FLNG,load,,,,,unresolved,none,natural_earth_10m_ports,no exact case-insensitive name match within country
congo,CG,Tango FLNG (Congo LNG),load,,,,,unresolved,none,natural_earth_10m_ports,no exact case-insensitive name match within country
congo,CG,Nguya FLNG (Congo LNG),load,,,,,unresolved,none,natural_earth_10m_ports,no exact case-insensitive name match within country
djibouti,DJ,Ethiopia-Djibouti LNG,load,,,,,unresolved,none,natural_earth_10m_ports,no exact case-insensitive name match within country
equatorial_guinea,GQ,Fortuna FLNG,load,,,,,unresolved,none,natural_earth_10m_ports,no exact case-insensitive name match within country
equatorial_guinea,GQ,EG LNG,load,,,,,unresolved,none,natural_earth_10m_ports,no exact case-insensitive name match within country
equatorial_guinea,GQ,EG LNG,load,,,,,unresolved,none,natural_earth_10m_ports,no exact case-insensitive name match within country
gabon,GA,Gabon LNG,load,,,,,unresolved,none,natural_earth_10m_ports,no exact case-insensitive name match within country
mauritania,MR,BirAllah LNG,load,,,,,unresolved,none,natural_earth_10m_ports,no exact case-insensitive name match within country
mauritania,MR,Tortue FLNG,load,,,,,unresolved,none,natural_earth_10m_ports,no exact case-insensitive name match within country
mauritania,MR,Tortue FLNG,load,,,,,unresolved,none,natural_earth_10m_ports,no exact case-insensitive name match within country
mauritania,MR,BirAllah LNG,load,,,,,unresolved,none,natural_earth_10m_ports,no exact case-insensitive name match within country
mozambique,MZ,Coral Norte,load,,,,,unresolved,none,natural_earth_10m_ports,no exact case-insensitive name match within country
mozambique,MZ,Mozambique LNG,load,,,,,unresolved,none,natural_earth_10m_ports,no exact case-insensitive name match within country
mozambique,MZ,Rovuma,load,,,,,unresolved,none,natural_earth_10m_ports,no exact case-insensitive name match within country
mozambique,MZ,Rovuma,load,,,,,unresolved,none,natural_earth_10m_ports,no exact case-insensitive name match within country
mozambique,MZ,Rovuma,load,,,,,unresolved,none,natural_earth_10m_ports,no exact case-insensitive name match within country
mozambique,MZ,Rovuma,load,,,,,unresolved,none,natural_earth_10m_ports,no exact case-insensitive name match within country
mozambique,MZ,Rovuma,load,,,,,unresolved,none,natural_earth_10m_ports,no exact case-insensitive name match within country
mozambique,MZ,Rovuma,load,,,,,unresolved,none,natural_earth_10m_ports,no exact case-insensitive name match within country
mozambique,MZ,Rovuma,load,,,,,unresolved,none,natural_earth_10m_ports,no exact case-insensitive name match within country
mozambique,MZ,Rovuma,load,,,,,unresolved,none,natural_earth_10m_ports,no exact case-insensitive name match within country
mozambique,MZ,Mozambique LNG,load,,,,,unresolved,none,natural_earth_10m_ports,no exact case-insensitive name match within country
mozambique,MZ,Rovuma,load,,,,,unresolved,none,natural_earth_10m_ports,no exact case-insensitive name match within country
mozambique,MZ,Rovuma,load,,,,,unresolved,none,natural_earth_10m_ports,no exact case-insensitive name match within country
mozambique,MZ,Rovuma,load,,,,,unresolved,none,natural_earth_10m_ports,no exact case-insensitive name match within country
mozambique,MZ,Mozambique LNG,load,,,,,unresolved,none,natural_earth_10m_ports,no exact case-insensitive name match within country
mozambique,MZ,Mozambique LNG,load,,,,,unresolved,none,natural_earth_10m_ports,no exact case-insensitive name match within country
mozambique,MZ,Mozambique LNG,load,,,,,unresolved,none,natural_earth_10m_ports,no exact case-insensitive name match within country
mozambique,MZ,Coral Sul - LNG Liquefaction Terminal,load,,,,,unresolved,none,natural_earth_10m_ports,no exact case-insensitive name match within country
mozambique,MZ,Rovuma,load,,,,,unresolved,none,natural_earth_10m_ports,no exact case-insensitive name match within country
