country_iso2,supply_bcm_2026,demand_bcm_2026,net_bcm_2026,materiality_tier
US,1154.406,921.788,232.618,top25_net_long
RU,625.314,487.336,137.978,top25_net_long
AU,155.076,37.176,117.901,top25_net_long
NO,117.08,4.651,112.429,top25_net_long
TM,98.949,,98.949,top25_net_long
CA,218.793,152.495,66.298,top25_net_long
QA,119.67,66.351,53.319,top25_net_long
DZ,106.567,56.051,50.516,top25_net_long
UZ,46.225,,46.225,top25_net_long
OM,43.778,,43.778,top25_net_long
MY,79.147,45.778,33.369,top25_net_long
NG,47.559,20.278,27.281,top25_net_long
AZ,42.293,15.08,27.213,top25_net_long
TT,25.676,,25.676,top25_net_long
VE,22.085,,22.085,top25_net_long
IL,31.307,10.893,20.413,top25_net_long
KW,20.335,,20.335,top25_net_long
BH,15.974,,15.974,top25_net_long
ID,64.593,48.754,15.838,top25_net_long
IR,285.14,271.032,14.108,top25_net_long
PG,10.149,,10.149,top25_net_long
MZ,9.027,,9.027,top25_net_long
BO,6.486,,6.486,top25_net_long
BN,6.255,,6.255,top25_net_long
GQ,5.757,,5.757,top25_net_long
AO,6.866,1.388,5.478,other
MM,8.802,3.555,5.246,other
TL,4.761,,4.761,other
KZ,29.513,25.184,4.33,other
LY,12.47,8.257,4.213,other
PE,14.917,11.052,3.865,other
CI,3.067,,3.067,other
MR,3.053,,3.053,other
SY,2.508,,2.508,other
CM,1.84,,1.84,other
AR,42.575,40.993,1.582,other
DK,3.113,1.898,1.215,other
CU,1.04,,1.04,other
TZ,0.826,,0.826,other
CG,0.798,,0.798,other
SN,0.506,,0.506,other
EC,0.765,0.33,0.435,other
RS,0.331,,0.331,other
GA,0.327,,0.327,other
YE,0.273,,0.273,other
NZ,3.87,3.656,0.214,other
AF,0.162,,0.162,other
AL,0.052,,0.052,other
TJ,0.049,,0.049,other
JO,0.037,,0.037,other
CD,0.029,,0.029,other
GE,0.025,,0.025,other
AM,0.0,,0,other
BA,0.0,,0,other
BF,0.0,,0,other
BI,0.0,,0,other
BJ,0.0,,0,other
BT,0.0,,0,other
BW,0.0,,0,other
BY,0.0,,0,other
CF,0.0,,0,other
CR,0.0,0.0,-0.0,other
CV,0.0,,0,other
DJ,0.0,,0,other
DM,0.0,,0,other
DO,0.0,,0,other
ER,0.0,,0,other
ET,0.0,0.0,0,other
FJ,0.0,,0,other
GM,0.0,,0,other
GN,0.0,,0,other
GT,0.0,,0,other
GW,0.0,,0,other
GY,0.0,,0,other
HK,0.0,,0,other
HN,0.0,,0,other
HT,0.0,,0,other
IS,0.0,0.0,0,other
JM,0.0,,0,other
KG,0.0,,0,other
KH,0.0,,0,other
KI,0.0,,0,other
KP,0.0,,0,other
LA,0.0,,0,other
LB,0.0,,0,other
LK,0.0,0.0,0,other
LR,0.0,,0,other
LS,0.0,,0,other
MD,0.0,,0,other
ME,0.0,,0,other
MG,0.0,,0,other
MK,0.0,,0,other
ML,0.0,,0,other
MN,0.0,,0,other
MU,0.0,,0,other
MV,0.0,,0,other
MW,0.0,,0,other
NE,0.0,,0,other
NI,0.0,,0,other
NP,0.0,,0,other
NR,0.0,,0,other
PA,0.0,,0,other
PR,0.0,,0,other
PY,0.0,,0,other
RW,0.0,,0,other
SC,0.0,,0,other
SL,0.0,,0,other
SO,0.0,,0,other
SR,0.0,,0,other
SV,0.0,,0,other
TD,0.0,,0,other
TG,0.0,,0,other
TO,0.0,,0,other
UG,0.0,,0,other
UY,0.0,,0,other
VU,0.0,,0,other
ZM,0.0,,0,other
ZW,0.0,,0,other
KE,0.0,0.001,-0.001,other
CY,0.0,0.004,-0.004,other
EE,0.0,0.336,-0.336,other
MT,,0.433,-0.433,other
GH,3.382,3.853,-0.471,other
LU,,0.657,-0.657,other
SI,0.0,0.877,-0.877,other
MA,0.046,0.933,-0.887,other
LV,0.0,0.896,-0.896,other
SE,0.0,0.932,-0.932,other
RO,9.266,10.235,-0.97,other
FI,0.0,1.671,-1.671,other
LT,0.0,1.691,-1.691,other
VN,5.476,7.194,-1.719,other
UA,19.504,21.31,-1.807,other
SA,108.824,111.151,-2.327,other
PH,1.674,4.307,-2.633,other
BG,0.0,2.837,-2.837,other
HR,0.448,3.406,-2.959,other
CH,0.0,3.16,-3.16,other
ZA,0.864,4.045,-3.181,other
IE,1.493,4.826,-3.334,other
CO,7.737,11.194,-3.457,other
PT,0.0,4.486,-4.486,other
BR,22.452,26.967,-4.514,other
PK,28.942,33.574,-4.631,other
SK,0.053,4.694,-4.642,other
GR,0.0,5.233,-5.233,other
CL,1.454,7.228,-5.774,other
TN,0.441,6.553,-6.112,top25_net_short
AT,0.608,6.999,-6.391,top25_net_short
CZ,0.218,6.987,-6.769,top25_net_short
HU,0.535,9.316,-8.781,top25_net_short
BD,16.901,27.919,-11.018,top25_net_short
SG,0.0,13.492,-13.492,top25_net_short
PL,4.026,20.729,-16.703,top25_net_short
BE,0.0,17.381,-17.381,top25_net_short
IQ,12.516,30.201,-17.685,top25_net_short
NL,8.461,26.918,-18.457,top25_net_short
AE,53.84,72.904,-19.064,top25_net_short
TH,27.839,47.196,-19.357,top25_net_short
IN,44.89,66.165,-21.276,top25_net_short
EG,39.69,64.463,-24.773,top25_net_short
ES,0.028,27.155,-27.127,top25_net_short
GB,27.431,55.687,-28.256,top25_net_short
FR,0.559,33.12,-32.561,top25_net_short
TW,0.051,34.984,-34.934,top25_net_short
TR,5.932,57.996,-52.065,top25_net_short
IT,3.331,60.013,-56.682,top25_net_short
KR,0.0,62.204,-62.204,top25_net_short
MX,37.461,102.1,-64.639,top25_net_short
DE,3.527,82.879,-79.352,top25_net_short
JP,3.225,91.907,-88.682,top25_net_short
CN,272.786,436.811,-164.025,top25_net_short
