area_id,area_name,suez_position,country_iso2_list,proposed_node_id,confidence,note
24772,Africa Atlantic Coast,west,AO|BJ|CD|CG|CI|CM|CV|GA|GH|GM|GN|GQ|GW|LR|MA|MR|NG|SL|SN|ST|TG,,none,"multi country area (21 countries: AO, BJ, CD, CG, CI, CM, CV, GA, GH, GM, GN, GQ, GW, LR, MA, MR, NG, SL, SN, ST, TG); a multi country area is not a node"
24719,Alaska,west,US,us_alaska,high,unambiguous single country match to a section 4.3 node id
24777,Arabian Gulf,east,AE|BH|IQ|IR|KW|OM|QA|SA,,none,"multi country area (8 countries: AE, BH, IQ, IR, KW, OM, QA, SA); a multi country area is not a node"
24673,Arctic Ocean & Barents Sea,west,CA|FO|GL|IS|NO|RU,,none,"multi country area (6 countries: CA, FO, GL, IS, NO, RU); a multi country area is not a node"
24769,Argentina & Uruguay,west,AR|BR|FK|UY,,none,"multi country area (4 countries: AR, BR, FK, UY); a multi country area is not a node"
24781,Australia East,east,AU,au_east,high,unambiguous single country match to a section 4.3 node id
24704,Australia North,east,AU|TL,,none,"multi country area (2 countries: AU, TL); a multi country area is not a node"
24774,Australia South,east,AU,,none,EA's taxonomy is finer than the plan's: no node id 'au_south' is named in section 4.3; leaving unresolved rather than inventing one
24773,Australia West,east,AU,au_west,high,unambiguous single country match to a section 4.3 node id
24755,Baltic Sea Low,west,DE|DK|LT|LV|PL|RU|SE,,none,"multi country area (7 countries: DE, DK, LT, LV, PL, RU, SE); a multi country area is not a node"
24594,Baltic Sea Upper,west,EE|FI|RU|SE,,none,"multi country area (4 countries: EE, FI, RU, SE); a multi country area is not a node"
24583,Black Sea,west,BG|GE|MD|RO|RU|TR|UA,,none,"multi country area (7 countries: BG, GE, MD, RO, RU, TR, UA); a multi country area is not a node"
24767,Brazil,west,BR,,none,not among the split-country candidate areas named in build plan 4.6b; a single node country's node id is out of scope for this proposal
24757,British Isles,west,GB|IE,,none,"multi country area (2 countries: GB, IE); a multi country area is not a node"
24740,Canada Atlantic Coast,west,CA,ca_east,high,unambiguous single country match to a section 4.3 node id
